"Date","Price","Open","High","Low","Vol.","Change %"
"26/01/2024","32,938.8","31,432.1","33,266.4","31,359.3","0.22K","4.79%"
"25/01/2024","31,432.1","31,527.5","31,676.1","31,118.5","0.10K","-0.30%"
"24/01/2024","31,527.5","31,425.0","31,768.5","31,045.4","0.10K","0.33%"
"23/01/2024","31,425.0","31,107.5","31,553.6","30,357.3","0.22K","1.02%"
"22/01/2024","31,107.5","32,749.7","32,814.2","31,052.7","0.22K","-5.05%"
"21/01/2024","32,761.8","32,853.3","32,980.7","32,700.0","0.04K","-0.27%"
"20/01/2024","32,851.6","32,784.6","32,986.4","32,639.2","0.06K","0.21%"
"19/01/2024","32,782.7","32,507.6","33,209.4","31,800.1","0.14K","0.88%"
"18/01/2024","32,498.2","33,723.1","33,797.1","32,015.2","0.24K","-3.65%"
"17/01/2024","33,727.9","34,112.2","34,188.5","33,296.0","0.14K","-1.26%"
"16/01/2024","34,157.4","33,450.3","34,497.0","33,292.8","0.09K","2.11%"
"15/01/2024","33,450.3","32,851.6","34,060.8","32,781.9","0.09K","1.82%"
"14/01/2024","32,851.6","33,695.1","33,856.7","32,782.6","0.09K","-2.50%"
"13/01/2024","33,695.1","33,661.2","33,990.7","33,345.5","0.09K","0.10%"
"12/01/2024","33,661.2","36,311.0","36,462.5","32,680.6","0.31K","-7.30%"
"11/01/2024","36,311.0","36,648.5","38,582.6","35,824.8","0.39K","-0.92%"
"10/01/2024","36,648.5","36,340.4","37,520.4","34,939.3","0.51K","0.85%"
"09/01/2024","36,340.4","36,904.9","37,733.4","35,590.0","0.47K","-1.53%"
"08/01/2024","36,904.9","34,592.8","37,103.9","34,070.8","0.46K","6.68%"
"07/01/2024","34,595.2","34,667.0","35,066.3","34,379.8","0.11K","-0.21%"
"06/01/2024","34,667.0","34,785.9","34,827.9","34,224.1","0.09K","-0.34%"
"05/01/2024","34,785.9","34,877.5","35,003.2","33,835.1","0.19K","-0.26%"
"04/01/2024","34,877.5","33,896.3","35,345.2","33,629.0","0.21K","2.89%"
"03/01/2024","33,896.3","35,632.4","36,037.0","32,426.1","0.35K","-4.87%"
"02/01/2024","35,632.4","34,745.2","36,339.9","34,741.8","0.36K","2.55%"
"01/01/2024","34,745.2","33,303.1","34,775.9","33,250.0","0.12K","4.33%"
"31/12/2023","33,302.2","33,140.9","33,695.2","33,038.7","0.07K","0.48%"
"30/12/2023","33,143.8","33,061.8","33,509.0","32,633.2","0.18K","0.25%"
"29/12/2023","33,061.8","33,479.5","33,964.5","32,530.5","0.23K","-1.25%"
"28/12/2023","33,479.5","33,943.1","34,242.8","33,196.7","0.21K","-1.37%"
"27/12/2023","33,943.1","33,437.9","34,166.2","33,155.6","0.14K","1.51%"
"26/12/2023","33,437.9","34,339.4","34,353.0","32,886.6","0.19K","-2.63%"
"25/12/2023","34,339.4","33,953.2","34,573.2","33,767.3","0.08K","1.16%"
"24/12/2023","33,947.1","34,470.3","34,662.4","33,718.0","0.11K","-1.52%"
"23/12/2023","34,470.3","34,658.1","34,681.4","34,150.0","0.08K","-0.54%"
"22/12/2023","34,658.1","34,600.5","35,000.0","34,142.2","0.22K","0.17%"
"21/12/2023","34,600.5","34,544.8","34,927.4","34,240.4","0.17K","0.19%"
"20/12/2023","34,533.9","33,208.3","34,969.3","33,204.2","0.22K","3.99%"
"19/12/2023","33,208.3","33,709.7","34,285.9","32,849.6","0.17K","-1.49%"
